"","well","plateID","age","mouseID","sex"
"A1-D041912-3_8_M-1-1.csv","A1","D041912","3","8","M"
"A1-D042044-3_9_M-1-1.csv","A1","D042044","3","9","M"
"A1-D042479-3_8_M-1-1.csv","A1","D042479","3","8","M"
"A1-D045140-3_38_F-1-1.csv","A1","D045140","3","38","F"
"A1-MAA000409-3_10_M-1-1.csv","A1","MAA000409","3","10","M"
"A1-MAA000596-3_9_M-1-1.csv","A1","MAA000596","3","9","M"
"A1-MAA000600-3_8_M-1-1.csv","A1","MAA000600","3","8","M"
"A1-MAA000652-3_10_M-1-1.csv","A1","MAA000652","3","10","M"
"A1-MAA000844-3_10_M-1-1.csv","A1","MAA000844","3","10","M"
"A1-MAA000848-3_10_M-1-1.csv","A1","MAA000848","3","10","M"
"A1-MAA001842-3_38_F-1-1.csv","A1","MAA001842","3","38","F"
"A1-MAA001883-3_39_F-1-1.csv","A1","MAA001883","3","39","F"
"A1-MAA001884-3_38_F-1-1.csv","A1","MAA001884","3","38","F"
"A1-MAA001887-3_39_F-1-1.csv","A1","MAA001887","3","39","F"
"A1-MAA001888-3_39_F-1-1.csv","A1","MAA001888","3","39","F"
"A10-D042044-3_9_M-1-1.csv","A10","D042044","3","9","M"
"A10-D042193-3_8_M-1-1.csv","A10","D042193","3","8","M"
"A10-D042479-3_8_M-1-1.csv","A10","D042479","3","8","M"
"A10-D045140-3_38_F-1-1.csv","A10","D045140","3","38","F"
"A10-MAA000409-3_10_M-1-1.csv","A10","MAA000409","3","10","M"
"A10-MAA000600-3_8_M-1-1.csv","A10","MAA000600","3","8","M"
"A10-MAA000639-3_9_M-1-1.csv","A10","MAA000639","3","9","M"
"A10-MAA000652-3_10_M-1-1.csv","A10","MAA000652","3","10","M"
"A10-MAA000844-3_10_M-1-1.csv","A10","MAA000844","3","10","M"
"A10-MAA000848-3_10_M-1-1.csv","A10","MAA000848","3","10","M"
"A10-MAA001844-3_38_F-1-1.csv","A10","MAA001844","3","38","F"
"A10-MAA001883-3_39_F-1-1.csv","A10","MAA001883","3","39","F"
"A10-MAA001884-3_38_F-1-1.csv","A10","MAA001884","3","38","F"
"A10-MAA001887-3_39_F-1-1.csv","A10","MAA001887","3","39","F"
"A11-D041912-3_8_M-1-1.csv","A11","D041912","3","8","M"
"A11-D042044-3_9_M-1-1.csv","A11","D042044","3","9","M"
"A11-D042193-3_8_M-1-1.csv","A11","D042193","3","8","M"
"A11-D042479-3_8_M-1-1.csv","A11","D042479","3","8","M"
"A11-D045139-3_39_F-1-1.csv","A11","D045139","3","39","F"
"A11-D045140-3_38_F-1-1.csv","A11","D045140","3","38","F"
"A11-MAA000409-3_10_M-1-1.csv","A11","MAA000409","3","10","M"
"A11-MAA000596-3_9_M-1-1.csv","A11","MAA000596","3","9","M"
"A11-MAA000600-3_8_M-1-1.csv","A11","MAA000600","3","8","M"
"A11-MAA000639-3_9_M-1-1.csv","A11","MAA000639","3","9","M"
"A11-MAA000652-3_10_M-1-1.csv","A11","MAA000652","3","10","M"
"A11-MAA000844-3_10_M-1-1.csv","A11","MAA000844","3","10","M"
"A11-MAA000848-3_10_M-1-1.csv","A11","MAA000848","3","10","M"
"A11-MAA001842-3_38_F-1-1.csv","A11","MAA001842","3","38","F"
"A11-MAA001844-3_38_F-1-1.csv","A11","MAA001844","3","38","F"
"A11-MAA001883-3_39_F-1-1.csv","A11","MAA001883","3","39","F"
"A11-MAA001884-3_38_F-1-1.csv","A11","MAA001884","3","38","F"
"A12-D041912-3_8_M-1-1.csv","A12","D041912","3","8","M"
"A12-D042044-3_9_M-1-1.csv","A12","D042044","3","9","M"
"A12-D042193-3_8_M-1-1.csv","A12","D042193","3","8","M"
"A12-D045139-3_39_F-1-1.csv","A12","D045139","3","39","F"
"A12-D045140-3_38_F-1-1.csv","A12","D045140","3","38","F"
"A12-MAA000409-3_10_M-1-1.csv","A12","MAA000409","3","10","M"
"A12-MAA000596-3_9_M-1-1.csv","A12","MAA000596","3","9","M"
"A12-MAA000600-3_8_M-1-1.csv","A12","MAA000600","3","8","M"
"A12-MAA000639-3_9_M-1-1.csv","A12","MAA000639","3","9","M"
"A12-MAA000652-3_10_M-1-1.csv","A12","MAA000652","3","10","M"
"A12-MAA000844-3_10_M-1-1.csv","A12","MAA000844","3","10","M"
"A12-MAA000848-3_10_M-1-1.csv","A12","MAA000848","3","10","M"
"A12-MAA001842-3_38_F-1-1.csv","A12","MAA001842","3","38","F"
"A12-MAA001844-3_38_F-1-1.csv","A12","MAA001844","3","38","F"
"A12-MAA001883-3_39_F-1-1.csv","A12","MAA001883","3","39","F"
"A12-MAA001884-3_38_F-1-1.csv","A12","MAA001884","3","38","F"
"A12-MAA001887-3_39_F-1-1.csv","A12","MAA001887","3","39","F"
"A13-D041912-3_8_M-1-1.csv","A13","D041912","3","8","M"
"A13-D042193-3_8_M-1-1.csv","A13","D042193","3","8","M"
"A13-D042479-3_8_M-1-1.csv","A13","D042479","3","8","M"
"A13-D045139-3_39_F-1-1.csv","A13","D045139","3","39","F"
"A13-D045140-3_38_F-1-1.csv","A13","D045140","3","38","F"
"A13-MAA000409-3_10_M-1-1.csv","A13","MAA000409","3","10","M"
"A13-MAA000596-3_9_M-1-1.csv","A13","MAA000596","3","9","M"
"A13-MAA000600-3_8_M-1-1.csv","A13","MAA000600","3","8","M"
"A13-MAA000639-3_9_M-1-1.csv","A13","MAA000639","3","9","M"
"A13-MAA000652-3_10_M-1-1.csv","A13","MAA000652","3","10","M"
"A13-MAA000844-3_10_M-1-1.csv","A13","MAA000844","3","10","M"
"A13-MAA000848-3_10_M-1-1.csv","A13","MAA000848","3","10","M"
"A13-MAA001844-3_38_F-1-1.csv","A13","MAA001844","3","38","F"
"A13-MAA001883-3_39_F-1-1.csv","A13","MAA001883","3","39","F"
"A13-MAA001884-3_38_F-1-1.csv","A13","MAA001884","3","38","F"
"A13-MAA001887-3_39_F-1-1.csv","A13","MAA001887","3","39","F"
"A14-D041912-3_8_M-1-1.csv","A14","D041912","3","8","M"
"A14-D042044-3_9_M-1-1.csv","A14","D042044","3","9","M"
"A14-D042193-3_8_M-1-1.csv","A14","D042193","3","8","M"
"A14-D042479-3_8_M-1-1.csv","A14","D042479","3","8","M"
"A14-D045139-3_39_F-1-1.csv","A14","D045139","3","39","F"
"A14-D045140-3_38_F-1-1.csv","A14","D045140","3","38","F"
"A14-MAA000409-3_10_M-1-1.csv","A14","MAA000409","3","10","M"
"A14-MAA000596-3_9_M-1-1.csv","A14","MAA000596","3","9","M"
"A14-MAA000600-3_8_M-1-1.csv","A14","MAA000600","3","8","M"
"A14-MAA000652-3_10_M-1-1.csv","A14","MAA000652","3","10","M"
"A14-MAA000844-3_10_M-1-1.csv","A14","MAA000844","3","10","M"
"A14-MAA000848-3_10_M-1-1.csv","A14","MAA000848","3","10","M"
"A14-MAA001842-3_38_F-1-1.csv","A14","MAA001842","3","38","F"
"A14-MAA001844-3_38_F-1-1.csv","A14","MAA001844","3","38","F"
"A14-MAA001883-3_39_F-1-1.csv","A14","MAA001883","3","39","F"
"A14-MAA001884-3_38_F-1-1.csv","A14","MAA001884","3","38","F"
"A15-D041912-3_8_M-1-1.csv","A15","D041912","3","8","M"
"A15-D042044-3_9_M-1-1.csv","A15","D042044","3","9","M"
"A15-D042193-3_8_M-1-1.csv","A15","D042193","3","8","M"
"A15-D042467-3_9_M-1-1.csv","A15","D042467","3","9","M"
"A15-D042479-3_8_M-1-1.csv","A15","D042479","3","8","M"
"A15-D045139-3_39_F-1-1.csv","A15","D045139","3","39","F"
"A15-D045140-3_38_F-1-1.csv","A15","D045140","3","38","F"
"A15-MAA000409-3_10_M-1-1.csv","A15","MAA000409","3","10","M"
"A15-MAA000596-3_9_M-1-1.csv","A15","MAA000596","3","9","M"
"A15-MAA000600-3_8_M-1-1.csv","A15","MAA000600","3","8","M"
"A15-MAA000639-3_9_M-1-1.csv","A15","MAA000639","3","9","M"
"A15-MAA000652-3_10_M-1-1.csv","A15","MAA000652","3","10","M"
"A15-MAA000844-3_10_M-1-1.csv","A15","MAA000844","3","10","M"
"A15-MAA000848-3_10_M-1-1.csv","A15","MAA000848","3","10","M"
"A15-MAA001842-3_38_F-1-1.csv","A15","MAA001842","3","38","F"
"A15-MAA001884-3_38_F-1-1.csv","A15","MAA001884","3","38","F"
"A15-MAA001887-3_39_F-1-1.csv","A15","MAA001887","3","39","F"
"A16-D041912-3_8_M-1-1.csv","A16","D041912","3","8","M"
"A16-D042044-3_9_M-1-1.csv","A16","D042044","3","9","M"
"A16-D042193-3_8_M-1-1.csv","A16","D042193","3","8","M"
"A16-D042479-3_8_M-1-1.csv","A16","D042479","3","8","M"
"A16-D045140-3_38_F-1-1.csv","A16","D045140","3","38","F"
"A16-MAA000409-3_10_M-1-1.csv","A16","MAA000409","3","10","M"
"A16-MAA000596-3_9_M-1-1.csv","A16","MAA000596","3","9","M"
"A16-MAA000600-3_8_M-1-1.csv","A16","MAA000600","3","8","M"
"A16-MAA000652-3_10_M-1-1.csv","A16","MAA000652","3","10","M"
"A16-MAA000844-3_10_M-1-1.csv","A16","MAA000844","3","10","M"
"A16-MAA000848-3_10_M-1-1.csv","A16","MAA000848","3","10","M"
"A16-MAA001844-3_38_F-1-1.csv","A16","MAA001844","3","38","F"
"A16-MAA001883-3_39_F-1-1.csv","A16","MAA001883","3","39","F"
"A16-MAA001884-3_38_F-1-1.csv","A16","MAA001884","3","38","F"
"A17-D041912-3_8_M-1-1.csv","A17","D041912","3","8","M"
"A17-D042044-3_9_M-1-1.csv","A17","D042044","3","9","M"
"A17-D042193-3_8_M-1-1.csv","A17","D042193","3","8","M"
"A17-D042479-3_8_M-1-1.csv","A17","D042479","3","8","M"
"A17-D045139-3_39_F-1-1.csv","A17","D045139","3","39","F"
"A17-D045140-3_38_F-1-1.csv","A17","D045140","3","38","F"
"A17-MAA000409-3_10_M-1-1.csv","A17","MAA000409","3","10","M"
"A17-MAA000596-3_9_M-1-1.csv","A17","MAA000596","3","9","M"
"A17-MAA000600-3_8_M-1-1.csv","A17","MAA000600","3","8","M"
"A17-MAA000639-3_9_M-1-1.csv","A17","MAA000639","3","9","M"
"A17-MAA000652-3_10_M-1-1.csv","A17","MAA000652","3","10","M"
"A17-MAA000844-3_10_M-1-1.csv","A17","MAA000844","3","10","M"
"A17-MAA000848-3_10_M-1-1.csv","A17","MAA000848","3","10","M"
"A17-MAA001844-3_38_F-1-1.csv","A17","MAA001844","3","38","F"
"A17-MAA001883-3_39_F-1-1.csv","A17","MAA001883","3","39","F"
"A17-MAA001884-3_38_F-1-1.csv","A17","MAA001884","3","38","F"
"A17-MAA001887-3_39_F-1-1.csv","A17","MAA001887","3","39","F"
"A18-D041912-3_8_M-1-1.csv","A18","D041912","3","8","M"
"A18-D042044-3_9_M-1-1.csv","A18","D042044","3","9","M"
"A18-D042193-3_8_M-1-1.csv","A18","D042193","3","8","M"
"A18-D042479-3_8_M-1-1.csv","A18","D042479","3","8","M"
"A18-D045140-3_38_F-1-1.csv","A18","D045140","3","38","F"
"A18-MAA000409-3_10_M-1-1.csv","A18","MAA000409","3","10","M"
"A18-MAA000596-3_9_M-1-1.csv","A18","MAA000596","3","9","M"
"A18-MAA000639-3_9_M-1-1.csv","A18","MAA000639","3","9","M"
"A18-MAA000844-3_10_M-1-1.csv","A18","MAA000844","3","10","M"
"A18-MAA000848-3_10_M-1-1.csv","A18","MAA000848","3","10","M"
"A18-MAA001842-3_38_F-1-1.csv","A18","MAA001842","3","38","F"
"A18-MAA001883-3_39_F-1-1.csv","A18","MAA001883","3","39","F"
